sequence,petal.width,petal.length,aperture,colour,group
1,9,16,5,white,epsilon
2,7,13,4,pink,epsilon
3,11,23,6,pink,epsilon
4,13,19,6,white,epsilon
5,11,16,7,pink,epsilon
6,10,18,6,white,epsilon
7,12,20,7,pink,epsilon
8,14,20,8,white,epsilon
9,9,15,7,white,epsilon
10,9,25,6,pink,epsilon
11,9,17,6,white,epsilon
12,9,19,6,white,epsilon
13,11,21,7,pink,epsilon
14,10,23,8,pink,epsilon
15,15,20,9,white,epsilon
16,14,23,7,white,epsilon
17,11,19,9,pink,epsilon
18,11,21,8,pink,epsilon
19,9,18,6,white,epsilon
20,11,22,7,pink,epsilon
21,7,15,6,pink,epsilon
22,9,20,7,pink,epsilon
23,9,21,7,pink,epsilon
24,9,20,6,white,epsilon
25,9,18,6,white,epsilon
26,11,20,7,pink,epsilon
27,9,18,6,pink,epsilon
28,9,21,7,white,epsilon
29,9,22,7,white,epsilon
30,9,21,6,pink,epsilon
1,10,19,8,pink,alpha
2,11,21,7,pink,alpha
3,10,17,8,pink,alpha
4,9,21,7,pink,alpha
5,10,19,6,pink,alpha
6,9,20,6,pink,alpha
7,10,20,7,pink,alpha
8,8,21,8,pink,alpha
9,10,22,8,white,alpha
10,7,17,6,white,alpha
11,10,21,7,white,alpha
12,10,26,9,white,alpha
13,8,16,7,white,alpha
14,8,20,8,white,alpha
15,7,19,6,white,alpha
16,11,21,7,pink,alpha
17,11,31,8,pink,alpha
18,8,21,8,pink,alpha
19,11,18,5,white,alpha
20,10,22,6,pink,alpha
21,7,17,6,pink,alpha
22,7,15,5,pink,alpha
23,12,18,5,white,alpha
24,9,20,6,white,alpha
25,8,21,6,pink,alpha
26,7,20,8,white,alpha
27,9,19,7,white,alpha
28,8,17,7,pink,alpha
29,9,19,7,white,alpha
30,10,19,7,white,alpha
1,11,20,7,pink,beta
2,10,17,8,pink,beta
3,13,21,8,white,beta
4,15,24,10,pink,beta
5,12,22,8,pink,beta
6,10,25,8,pink,beta
7,11,24,6,white,beta
8,14,26,10,pink,beta
9,4,9,4,pink,beta
10,9,18,7,pink,beta
11,6,17,7,pink,beta
12,5,16,6,white,beta
13,8,22,7,pink,beta
14,5,15,7,white,beta
15,7,18,7,pink,beta
16,10,16,6,pink,beta
17,8,14,5,white,beta
18,6,15,6,pink,beta
19,9,19,7,white,beta
20,8,20,7,white,beta
21,17,20,7,white,beta
22,19,17,6,white,beta
23,17,21,7,white,beta
24,17,17,8,white,beta
25,18,23,8,white,beta
26,17,21,7,pink,beta
27,10,19,8,pink,beta
28,10,21,8,pink,beta
29,9,19,7,pink,beta
30,9,15,5,pink,beta
1,7,22,10,pink,delta
2,8,22,7,pink,delta
3,9,21,7,pink,delta
4,13,24,10,pink,delta
5,14,30,7,pink,delta
6,12,20,6,white,delta
7,11,21,6,pink,delta
8,11,23,8,white,delta
9,11,24,6,white,delta
10,12,24,6,pink,delta
11,10,27,6,pink,delta
12,8,21,7,pink,delta
13,9,20,6,pink,delta
14,12,25,4,white,delta
15,11,21,8,pink,delta
16,11,23,7,pink,delta
17,10,27,7,white,delta
18,10,19,6,white,delta
19,9,25,6,pink,delta
20,9,24,6,pink,delta
21,9,24,8,pink,delta
22,10,10,7,white,delta
23,10,27,5,white,delta
24,9,22,8,pink,delta
25,13,25,8,white,delta
26,12,25,8,white,delta
27,14,25,8,pink,delta
28,9,24,4,white,delta
29,9,22,6,pink,delta
30,5,14,5,pink,delta
1,12,22,10,pink,gamma
2,13,21,11,pink,gamma
3,14,21,9,pink,gamma
4,13,21,11,pink,gamma
5,12,21,9,white,gamma
6,11,18,8,white,gamma
7,12,21,9,white,gamma
8,12,20,9,pink,gamma
9,10,19,9,white,gamma
10,12,21,10,white,gamma
11,11,20,9,white,gamma
12,11,21,9,pink,gamma
13,11,26,10,pink,gamma
14,10,24,9,pink,gamma
15,10,21,8,pink,gamma
16,8,17,7,pink,gamma
17,10,23,8,white,gamma
18,6,16,5,pink,gamma
19,14,23,8,pink,gamma
20,14,24,9,white,gamma
21,11,28,9,white,gamma
22,9,15,7,white,gamma
23,8,15,7,white,gamma
24,5,9,4,pink,gamma
25,11,27,9,pink,gamma
26,12,29,9,white,gamma
27,13,26,9,white,gamma
28,13,23,8,white,gamma
29,14,26,8,white,gamma
30,12,24,8,white,gamma
